Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE
1,2019/2020,5,PDS217,7.5,10.0,10.0,10.0,15.0,15.0,42.5,,,26.0,68.5,B
1,2019/2020,5,PDS218,7.5,10.3,10.0,10.0,15.5,15.5,43.3,,,34.0,77.3,A-
1,2019/2020,5,PDS219,8.0,16.0,10.0,10.0,15.5,15.5,49.5,,,31.0,80.5,A
1,2019/2020,5,PDS220,8.0,14.0,10.0,10.0,18.0,18.0,50.0,,,24.5,74.5,B+
1,2019/2020,5,PDS221,7.0,15.3,10.0,10.0,18.0,18.0,50.3,,,35.5,85.8,A
1,2019/2020,5,PDS222,7.5,13.3,10.0,10.0,15.0,15.0,45.8,,,32.0,77.8,A-
1,2019/2020,5,PDS223,6.0,10.0,10.0,10.0,18.0,18.0,44.0,,,35.5,79.5,A-
1,2019/2020,5,PDS224,7.5,14.7,7.0,7.0,17.0,17.0,46.2,,,27.0,73.2,B+
1,2019/2020,5,PDS225,6.5,15.3,10.0,10.0,18.0,18.0,49.8,,,35.0,84.8,A
1,2019/2020,5,PDS226,8.0,15.3,10.0,10.0,18.0,18.0,51.3,,,35.0,86.3,A
1,2019/2020,5,PDS227,8.0,14.7,10.0,10.0,15.0,15.0,47.7,,,35.0,82.7,A
1,2019/2020,5,PDS228,7.5,14.3,10.0,10.0,17.0,17.0,48.8,,,34.0,82.8,A
1,2019/2020,5,PDS229,7.0,11.0,10.0,10.0,15.0,15.0,43.0,,,24.0,67.0,B
1,2019/2020,5,PDS230,9.0,16.7,10.0,10.0,18.5,18.5,54.2,,,35.0,89.2,A
1,2019/2020,5,PDS231,7.5,13.0,10.0,10.0,17.0,17.0,47.5,,,24.0,71.5,B+
1,2019/2020,5,PDS232,8.5,15.3,10.0,10.0,14.0,14.0,47.8,,,0.0,47.8,C-
1,2019/2020,5,PDS233,10.0,11.3,10.0,10.0,14.5,14.5,45.8,,,30.0,75.8,A-
1,2019/2020,5,PDS234,6.5,15.3,10.0,10.0,14.5,14.5,46.3,,,29.5,75.8,A-
1,2019/2020,5,PDS235,10.0,16.0,10.0,10.0,14.5,14.5,50.5,,,37.5,88.0,A
1,2019/2020,5,PDS236,0.0,17.3,10.0,10.0,0.0,0.0,27.3,,,0.0,31.0,F
1,2019/2020,5,PDS237,8.0,14.7,10.0,10.0,15.0,15.0,47.7,,,27.5,75.2,A-
1,2019/2020,5,PDS238,7.5,16.3,10.0,10.0,18.0,18.0,51.8,,,31.0,82.8,A
1,2019/2020,5,PDS239,8.0,16.0,10.0,10.0,18.0,18.0,52.0,,,34.5,86.5,A
